cancel	2	It Isn't the Mane Thing About You.txt	The Washouts.txt	
hu–	1	It's About Time.txt	
contradictory	1	Gauntlet of Fire.txt	
take	1	Apple Family Reunion.txt	
accompany	2	Twilight's Kingdom - Part 2.txt	Brotherhooves Social.txt	
jealously	1	Filli Vanilli.txt	
befriending	1	Twilight's Kingdom - Part 1.txt	
boasting	1	Boast Busters.txt	
cinnamon	5	The Break Up Break Down.txt	Every Little Thing She Does.txt	Secrets and Pies.txt	Dragonshy.txt	The Perfect Pear.txt	
sky-bound	1	Griffon the Brush Off.txt	
ewes	2	The Crystal Empire - Part 1.txt	The Crystal Empire - Part 2.txt	
post-massage	1	Castle Sweet Castle.txt	
primo	1	Tanks for the Memories.txt	
tank	2	Tanks for the Memories.txt	Maud Pie.txt	
reception	1	Princess Spike.txt	
everygriff	1	Surf and or Turf.txt	
hometown	2	The Beginning of the End - Part 2.txt	The Saddle Row Review.txt	
suggesting—	1	Made in Manehattan.txt	
darling	2	Applejack's "Day" Off.txt	My Little Pony Equestria Girls: Movie Magic.txt	
affects	1	The Cutie Re-Mark - Part 2.txt	
everypet	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
lifts	1	Top Bolt.txt	
strictly	1	The Cutie Map - Part 1.txt	
backstroke	1	Every Little Thing She Does.txt	
shields	1	Every Little Thing She Does.txt	
print	2	The End in Friend.txt	Once Upon a Zeppelin.txt	
turten	1	It Ain't Easy Being Breezies.txt	
"polo	1	Friendship University.txt	
classmates	1	Twilight Time.txt	
tweeting	1	Filli Vanilli.txt	
sparkle	1	My Little Pony Equestria Girls: Movie Magic.txt	
great)	1	Pinkie Pride.txt	
taps	1	To Where and Back Again - Part 2.txt	
greedier	1	Secret of My Excess.txt	
great"	1	The Break Up Break Down.txt	
going-away	2	Newbie Dash.txt	Celestial Advice.txt	
tape	1	The Washouts.txt	
fathom	1	The Cutie Re-Mark - Part 1.txt	
stadium	1	Amending Fences.txt	
nappin'	1	Winter Wrap Up.txt	
whimsical	3	Surf and or Turf.txt	A Royal Problem.txt	The Saddle Row Review.txt	
"the	1	The Washouts.txt	
darlin'	1	The Perfect Pear.txt	
funniest	1	To Where and Back Again - Part 1.txt	
hoots	3	Twilight's Kingdom - Part 2.txt	Filli Vanilli.txt	Student Counsel.txt	
protest	2	It Ain't Easy Being Breezies.txt	Princess Twilight Sparkle - Part 1.txt	
coursework	1	Friendship University.txt	
disbelief	1	Power Ponies.txt	
culprit	3	MMMystery on the Friendship Express.txt	The End in Friend.txt	My Little Pony Equestria Girls: Movie Magic.txt	
goooooooooooooooooal	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
underground	1	The Saddle Row Review.txt	
hardest	3	Twilight's Kingdom - Part 1.txt	Made in Manehattan.txt	Simple Ways.txt	
cancelled	1	It Isn't the Mane Thing About You.txt	
towel"	1	Common Ground.txt	
appease	1	Three's A Crowd.txt	
sparkly	3	The End in Friend.txt	The Crystal Empire - Part 1.txt	Castle Sweet Castle.txt	
"pony	2	Stranger Than Fan Fiction.txt	Dragonshy.txt	
painted	2	My Little Pony Equestria Girls: Summertime Shorts.txt	The Crystal Empire - Part 2.txt	
anvil	1	Brotherhooves Social.txt	
'invading'	1	Princess Twilight Sparkle - Part 1.txt	
dives	2	The Lost Treasure of Griffonstone.txt	Griffon the Brush Off.txt	
exploits	1	Twilight's Kingdom - Part 1.txt	
greasy	1	Forever Filly.txt	
member	1	The Washouts.txt	
tart	3	MMMystery on the Friendship Express.txt	Pinkie Apple Pie.txt	Apple Family Reunion.txt	
grease	2	The Crystal Empire - Part 1.txt	The Crystal Empire - Part 2.txt	
weirder	2	The One Where Pinkie Pie Knows.txt	Uprooted.txt	
"how's	1	A Royal Problem.txt	
health	1	Three's A Crowd.txt	
positive	5	The Cart Before the Ponies.txt	Newbie Dash.txt	Uprooted.txt	The Cutie Map - Part 2.txt	Rarity Takes Manehattan.txt	
o'clock	2	Pinkie Pride.txt	Princess Spike.txt	
"don't	1	Princess Spike.txt	
weirded	1	The Lost Treasure of Griffonstone.txt	
daydreaming	1	The Cutie Map - Part 1.txt	
kinetic	1	The Cart Before the Ponies.txt	
evening	8	Keep Calm and Flutter On.txt	Every Little Thing She Does.txt	The End in Friend.txt	Sweet and Elite.txt	Forever Filly.txt	A Royal Problem.txt	The Saddle Row Review.txt	Filli Vanilli.txt	
tureen's	1	Keep Calm and Flutter On.txt	
instance	4	Every Little Thing She Does.txt	It Ain't Easy Being Breezies.txt	Stranger Than Fan Fiction.txt	The Cutie Re-Mark - Part 1.txt	
serve	1	Spike at Your Service.txt	
reptile	1	Tanks for the Memories.txt	
millennia	2	To Where and Back Again - Part 2.txt	The Beginning of the End - Part 1.txt	
drown	1	Gauntlet of Fire.txt	
smile	1	A Friend in Deed.txt	
confused	2	A Royal Problem.txt	The Washouts.txt	
towels	1	Applejack's "Day" Off.txt	
wedding"	1	Simple Ways.txt	
backward	1	It Isn't the Mane Thing About You.txt	
clutter	2	The Beginning of the End - Part 2.txt	Castle Sweet Castle.txt	
hoops	1	The Cutie Re-Mark - Part 1.txt	
occur	3	It's About Time.txt	Secret of My Excess.txt	Applejack's "Day" Off.txt	
pleasant	4	The Cutie Map - Part 2.txt	Molt Down.txt	It Isn't the Mane Thing About You.txt	The Saddle Row Review.txt	
seriously	1	Apple Family Reunion.txt	
experiences	2	It Ain't Easy Being Breezies.txt	Student Counsel.txt	
two-mile-high	1	The Gift of the Maud Pie.txt	
mosey	3	Pinkie Pride.txt	Bloom & Gloom.txt	Brotherhooves Social.txt	
task	1	The Beginning of the End - Part 1.txt	
befell	1	Hearth's Warming Eve.txt	
valley	1	It Isn't the Mane Thing About You.txt	
position	2	Made in Manehattan.txt	Princess Spike.txt	
comin'	1	Apple Family Reunion.txt	
patent	1	The Washouts.txt	
handkerchiefs	1	The Break Up Break Down.txt	
certificate	1	The One Where Pinkie Pie Knows.txt	
phones	1	My Little Pony Equestria Girls: Movie Magic.txt	
appears	5	Twilight's Kingdom - Part 2.txt	Friendship University.txt	Twilight's Kingdom - Part 1.txt	Princess Twilight Sparkle - Part 1.txt	The Saddle Row Review.txt	
racket	1	The End in Friend.txt	
mobbed	1	The Times They Are A Changeling.txt	
b-plus	1	The Crystal Empire - Part 1.txt	
chicomoztoc	1	Stranger Than Fan Fiction.txt	
believer"	1	The Saddle Row Review.txt	
show-stopping	1	Boast Busters.txt	
experienced	1	Secret of My Excess.txt	
dihedral	1	Newbie Dash.txt	
geeking	1	Common Ground.txt	
brochure	1	Common Ground.txt	
splashes	5	Keep Calm and Flutter On.txt	Campfire Tales.txt	Uprooted.txt	The Saddle Row Review.txt	Apple Family Reunion.txt	
(sun)	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
pleeeeeeeeeeeaaaase	1	Marks for Effort.txt	
hup-one	1	Hearth's Warming Eve.txt	
privy	1	Twilight's Kingdom - Part 1.txt	
complicate	1	The Cutie Map - Part 1.txt	
simplify	2	The Cutie Map - Part 1.txt	Made in Manehattan.txt	
coming	1	Student Counsel.txt	
harping	1	Dragon Dropped.txt	
solvin'	1	A Rockhoof and a Hard Place.txt	
giddy	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
pie-bakin'&nbsp;seriously	1	The Break Up Break Down.txt	
outfit	4	Sweet and Elite.txt	It Isn't the Mane Thing About You.txt	Simple Ways.txt	My Little Pony Equestria Girls: Movie Magic.txt	
coughing	2	To Where and Back Again - Part 1.txt	Spike at Your Service.txt	
thumping	5	Every Little Thing She Does.txt	Do Princesses Dream of Magic Sheep?.txt	Campfire Tales.txt	The End in Friend.txt	Tanks for the Memories.txt	
greener	1	Bloom & Gloom.txt	
trample	1	MMMystery on the Friendship Express.txt	
doomsday	1	Power Ponies.txt	
spray	2	Power Ponies.txt	The Beginning of the End - Part 1.txt	
dissatisfied	2	Stranger Than Fan Fiction.txt	The Cutie Map - Part 2.txt	
taxi	2	Rarity Takes Manehattan.txt	The Saddle Row Review.txt	
guh—	1	Feeling Pinkie Keen.txt	
enthusiastic	1	Boast Busters.txt	
glaciation	1	The Gift of the Maud Pie.txt	
villagers	1	To Where and Back Again - Part 1.txt	
except	1	My Little Pony Equestria Girls: Movie Magic.txt	
briefed	1	Amending Fences.txt	
squee	1	The Washouts.txt	
thuds	8	Common Ground.txt	Tanks for the Memories.txt	Molt Down.txt	The Cutie Re-Mark - Part 2.txt	The Times They Are A Changeling.txt	The Beginning of the End - Part 2.txt	Marks for Effort.txt	The Perfect Pear.txt	
comics	2	Power Ponies.txt	The Last Problem.txt	
twins'	1	It Isn't the Mane Thing About You.txt	
collecting	1	The One Where Pinkie Pie Knows.txt	
balling	1	Common Ground.txt	
aaaaaah	1	Tanks for the Memories.txt	
outline	1	Hearth's Warming Eve.txt	
plants	3	Princess Twilight Sparkle - Part 1.txt	Made in Manehattan.txt	Twilight Time.txt	
restrictive	1	The End in Friend.txt	
mastered	2	Every Little Thing She Does.txt	Celestial Advice.txt	
windswept	1	It Isn't the Mane Thing About You.txt	
outfly	1	Campfire Tales.txt	
-ly	1	The Washouts.txt	
operation	3	Secrets and Pies.txt	The One Where Pinkie Pie Knows.txt	Applejack's "Day" Off.txt	
announcer	1	The Washouts.txt	
heartsick	1	A Rockhoof and a Hard Place.txt	
obligations	1	Once Upon a Zeppelin.txt	
leaves	1	Apple Family Reunion.txt	
if—	1	The Beginning of the End - Part 1.txt	
if–	1	The Crystal Empire - Part 1.txt	
w-where	3	Amending Fences.txt	Student Counsel.txt	My Little Pony Equestria Girls: Movie Magic.txt	
draconequus	1	To Where and Back Again - Part 2.txt	
tuxedo	1	MMMystery on the Friendship Express.txt	
celebrate	2	Princess Spike.txt	Student Counsel.txt	
admirable	1	The Beginning of the End - Part 2.txt	
collection	2	Rarity Takes Manehattan.txt	The Saddle Row Review.txt	
hello)	1	A Friend in Deed.txt	
squad	1	To Where and Back Again - Part 2.txt	
rehearsing	1	Friendship University.txt	
owning	1	Pinkie Apple Pie.txt	
youthful	1	Apple Family Reunion.txt	
slept	6	MMMystery on the Friendship Express.txt	Do Princesses Dream of Magic Sheep?.txt	It's About Time.txt	The Crystal Empire - Part 1.txt	Molt Down.txt	Princess Spike.txt	
guessed	2	The Washouts.txt	A Friend in Deed.txt	
yawning	3	The End in Friend.txt	To Where and Back Again - Part 1.txt	Apple Family Reunion.txt	
kills	1	Winter Wrap Up.txt	
installed	1	The Saddle Row Review.txt	
rough	6	Crusaders of the Lost Mark.txt	Gauntlet of Fire.txt	Winter Wrap Up.txt	Newbie Dash.txt	Pinkie Apple Pie.txt	Secret of My Excess.txt	
squat	1	Princess Twilight Sparkle - Part 1.txt	
scheduled	2	The End in Friend.txt	Once Upon a Zeppelin.txt	
father	5	Crusaders of the Lost Mark.txt	Gauntlet of Fire.txt	Surf and or Turf.txt	The Hearth's Warming Club.txt	The Perfect Pear.txt	
wowza	1	Apple Family Reunion.txt	
swept	3	Common Ground.txt	Pinkie Pride.txt	The Gift of the Maud Pie.txt	
guesses	1	Pinkie Pride.txt	
assistance	4	The Gift of the Maud Pie.txt	Princess Twilight Sparkle - Part 1.txt	Uncommon Bond.txt	The Saddle Row Review.txt	
towers	2	Every Little Thing She Does.txt	Stranger Than Fan Fiction.txt	
gem-finding	1	A Dog and Pony Show.txt	
aloney	1	The One Where Pinkie Pie Knows.txt	
unreserved	1	Friendship University.txt	
declaring	1	The Mysterious Mare Do Well.txt	
schedules	1	My Little Pony Equestria Girls: Movie Magic.txt	
okey-dokey-lokey	1	Party of One.txt	
wants	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
wonder	3	Applejack's "Day" Off.txt	A Friend in Deed.txt	My Little Pony Equestria Girls: Movie Magic.txt	
thermos	1	Dragon Dropped.txt	
answered	2	Common Ground.txt	Uprooted.txt	
nah-ah	1	Filli Vanilli.txt	
madness	2	MMMystery on the Friendship Express.txt	Secrets and Pies.txt	
joe's	1	MMMystery on the Friendship Express.txt	
again	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
"ruby	1	The Cutie Map - Part 1.txt	
spines	1	Marks for Effort.txt	
pwuh	1	Winter Wrap Up.txt	
maifo	1	It Ain't Easy Being Breezies.txt	
old–	1	Sweet and Elite.txt	
"two	1	Molt Down.txt	
"spring-sition"	1	Forever Filly.txt	
masked	2	Power Ponies.txt	The Mysterious Mare Do Well.txt	
brakes	2	Uncommon Bond.txt	The Last Problem.txt	
degrees	1	Friendship University.txt	
dances	1	Campfire Tales.txt	
prick	1	Dragon Dropped.txt	
ribbon-cutting	1	Filli Vanilli.txt	
price	1	The Gift of the Maud Pie.txt	
yelled	2	Crusaders of the Lost Mark.txt	Growing Up is Hard to Do.txt	
games	2	Maud Pie.txt	Princess Spike.txt	
teeny-tiny	2	It Ain't Easy Being Breezies.txt	Princess Twilight Sparkle - Part 1.txt	
c-o-u-s-i-n-s	1	Brotherhooves Social.txt	
pizzazz	1	The Saddle Row Review.txt	
grimly	2	The Perfect Pear.txt	The Saddle Row Review.txt	
resilient	1	Newbie Dash.txt	
risked	2	Gauntlet of Fire.txt	The Times They Are A Changeling.txt	
imagination	4	A Rockhoof and a Hard Place.txt	The Cart Before the Ponies.txt	Boast Busters.txt	The Times They Are A Changeling.txt	
resistance	2	Top Bolt.txt	The Cutie Re-Mark - Part 2.txt	
dancer	1	Amending Fences.txt	
welcomed	1	Once Upon a Zeppelin.txt	
nursery	2	The Times They Are A Changeling.txt	It Isn't the Mane Thing About You.txt	
pride	2	The Lost Treasure of Griffonstone.txt	Pinkie Pride.txt	
ewww	3	Dragonshy.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	A Dog and Pony Show.txt	
danced	1	Party of One.txt	
poi—	1	The Washouts.txt	
distress	4	My Little Pony Equestria Girls: Summertime Shorts.txt	Princess Twilight Sparkle - Part 1.txt	A Dog and Pony Show.txt	Spike at Your Service.txt	
donations	1	Secrets and Pies.txt	
hoped	9	Keep Calm and Flutter On.txt	Hearth's Warming Eve.txt	Campfire Tales.txt	Bloom & Gloom.txt	Twilight Time.txt	To Where and Back Again - Part 1.txt	The Perfect Pear.txt	Celestial Advice.txt	A Friend in Deed.txt	
y-you'd	1	Common Ground.txt	
uniform	3	Newbie Dash.txt	Uprooted.txt	Uncommon Bond.txt	
cadet	1	Campfire Tales.txt	
hopes	1	Surf and or Turf.txt	
collective	3	The End in Friend.txt	Dragonshy.txt	The Crystal Empire - Part 1.txt	
stitching	1	The Gift of the Maud Pie.txt	
buddy	5	The Crystal Empire - Part 2.txt	The Perfect Pear.txt	Rarity Takes Manehattan.txt	Applejack's "Day" Off.txt	A Friend in Deed.txt	
introductions	1	Stranger Than Fan Fiction.txt	
established	1	The Crystal Empire - Part 1.txt	
n-n-n-n-nice	1	Do Princesses Dream of Magic Sheep?.txt	
chuffing	2	The Gift of the Maud Pie.txt	The Cutie Map - Part 1.txt	
multitude	1	The End in Friend.txt	
caused	3	Growing Up is Hard to Do.txt	The Hearth's Warming Club.txt	Amending Fences.txt	
sweetness	1	MMMystery on the Friendship Express.txt	
thunk	8	Brotherhooves Social.txt	Growing Up is Hard to Do.txt	Once Upon a Zeppelin.txt	The Cutie Re-Mark - Part 2.txt	Made in Manehattan.txt	Uncommon Bond.txt	The Perfect Pear.txt	Apple Family Reunion.txt	
thump	6	Once Upon a Zeppelin.txt	The Beginning of the End - Part 1.txt	It Isn't the Mane Thing About You.txt	Spike at Your Service.txt	The Saddle Row Review.txt	Apple Family Reunion.txt	
slingtail	1	Gauntlet of Fire.txt	
sculptures	1	Forever Filly.txt	
singsongy	1	A Royal Problem.txt	
outpouring	1	The Times They Are A Changeling.txt	
planners	1	Pinkie Pride.txt	
holdin'	2	Brotherhooves Social.txt	The Beginning of the End - Part 2.txt	
biceps	2	A Rockhoof and a Hard Place.txt	Castle Sweet Castle.txt	
petrified	2	Filli Vanilli.txt	Student Counsel.txt	
squadron	1	A Rockhoof and a Hard Place.txt	
you'll	1	Apple Family Reunion.txt	
bottom	1	My Little Pony Equestria Girls: Movie Magic.txt	
aah-ooooooo-gah	1	The Cutie Re-Mark - Part 1.txt	
fossil	1	A Rockhoof and a Hard Place.txt	
fostered	1	Made in Manehattan.txt	
mails	1	The Break Up Break Down.txt	
n-no	3	The Break Up Break Down.txt	Secrets and Pies.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	
bloomin'	1	Party of One.txt	
close-up	2	My Little Pony Equestria Girls: Summertime Shorts.txt	Uncommon Bond.txt	
comfy	1	The One Where Pinkie Pie Knows.txt	
errands	1	Pinkie Apple Pie.txt	
dastardly	1	MMMystery on the Friendship Express.txt	
brooms'll	1	Twilight Time.txt	
thugs	1	A Dog and Pony Show.txt	
delicately	1	Party of One.txt	
solving	1	Princess Twilight Sparkle - Part 2.txt	
distractions	1	Secret of My Excess.txt	
interact	1	Student Counsel.txt	
laughs	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
network	1	The Cutie Map - Part 2.txt	
jealous	2	The Mysterious Mare Do Well.txt	Filli Vanilli.txt	
holding	2	Top Bolt.txt	The End in Friend.txt	
shortcut	2	Campfire Tales.txt	Twilight Time.txt	
forcefully	1	The Gift of the Maud Pie.txt	
seventy-one	2	Dragonshy.txt	Spike at Your Service.txt	
procure	1	The End in Friend.txt	
no-no-no	3	The Beginning of the End - Part 1.txt	The Last Problem.txt	Princess Spike.txt	
ooh's	1	The Last Problem.txt	
charging	1	Friendship University.txt	
resources	1	The Hooffields and McColts.txt	
sisters	6	Brotherhooves Social.txt	Growing Up is Hard to Do.txt	The Hearth's Warming Club.txt	The Cutie Re-Mark - Part 2.txt	A Royal Problem.txt	Twilight Time.txt	
openings	1	A Royal Problem.txt	
expensive	1	Sweet and Elite.txt	
performance	1	Filli Vanilli.txt	
round	1	Apple Family Reunion.txt	
comic	2	Power Ponies.txt	The Last Problem.txt	
alley-oop	2	A Rockhoof and a Hard Place.txt	Brotherhooves Social.txt	
photoshoot	1	It Isn't the Mane Thing About You.txt	
tree-chest-castle-map	1	The Cutie Map - Part 1.txt	
siblings	3	Top Bolt.txt	Pinkie Apple Pie.txt	The Perfect Pear.txt	
sorta	6	The Cart Before the Ponies.txt	The End in Friend.txt	Newbie Dash.txt	Made in Manehattan.txt	The Perfect Pear.txt	Amending Fences.txt	
building	1	The Saddle Row Review.txt	
princess;	1	Twilight's Kingdom - Part 1.txt	
organizer"	1	Winter Wrap Up.txt	
score	2	Common Ground.txt	The Crystal Empire - Part 1.txt	
rollin'	1	The Hooffields and McColts.txt	
quote	1	Stranger Than Fan Fiction.txt	
raa	1	Griffon the Brush Off.txt	
carafe"	1	Made in Manehattan.txt	
thermal	1	The Gift of the Maud Pie.txt	
sorts	6	Friendship University.txt	Pinkie Pride.txt	The Cutie Map - Part 1.txt	Growing Up is Hard to Do.txt	Amending Fences.txt	The Washouts.txt	
terrain	1	Student Counsel.txt	
ran	5	To Where and Back Again - Part 1.txt	The Perfect Pear.txt	Amending Fences.txt	Castle Sweet Castle.txt	Filli Vanilli.txt	
shudder's	1	Feeling Pinkie Keen.txt	
e-everything	1	The Cutie Map - Part 2.txt	
rat	1	Friendship University.txt	
unlocking	2	The End in Friend.txt	The Hooffields and McColts.txt	
chanting	2	Once Upon a Zeppelin.txt	Marks for Effort.txt	
is–	3	The Gift of the Maud Pie.txt	Sweet and Elite.txt	The Crystal Empire - Part 2.txt	
raw	1	Simple Ways.txt	
is—	5	Stranger Than Fan Fiction.txt	To Where and Back Again - Part 2.txt	Surf and or Turf.txt	Boast Busters.txt	It Isn't the Mane Thing About You.txt	
ray	1	Power Ponies.txt	
sideshow	1	To Where and Back Again - Part 2.txt	
squirting	2	It Isn't the Mane Thing About You.txt	Student Counsel.txt	
shaking	4	The Hearth's Warming Club.txt	It Isn't the Mane Thing About You.txt	Uncommon Bond.txt	Marks for Effort.txt	
snore	1	Winter Wrap Up.txt	
exam	3	The Crystal Empire - Part 1.txt	Molt Down.txt	Three's A Crowd.txt	
warms	1	Tanks for the Memories.txt	
callin'	2	Made in Manehattan.txt	Apple Family Reunion.txt	
poster	2	Griffon the Brush Off.txt	Castle Sweet Castle.txt	
snort	3	The Times They Are A Changeling.txt	A Royal Problem.txt	The Perfect Pear.txt	
southern	1	Winter Wrap Up.txt	
it—	3	Do Princesses Dream of Magic Sheep?.txt	Pinkie Apple Pie.txt	The Saddle Row Review.txt	
early-onset	1	It Isn't the Mane Thing About You.txt	
blamed	1	Hearth's Warming Eve.txt	
posted	1	The Times They Are A Changeling.txt	
rolling	1	The Washouts.txt	
warps	1	Pinkie Pride.txt	
treatise	1	Amending Fences.txt	
aspect	1	The End in Friend.txt	
tomorrow's	1	Filli Vanilli.txt	
mumbles	4	MMMystery on the Friendship Express.txt	The Crystal Empire - Part 1.txt	Uncommon Bond.txt	A Friend in Deed.txt	
her-her	1	The Break Up Break Down.txt	
photo	1	Apple Family Reunion.txt	
swing	1	Sweet and Elite.txt	
desperation	1	Brotherhooves Social.txt	
calling	2	A Dog and Pony Show.txt	Apple Family Reunion.txt	
shakily	1	The Washouts.txt	
tourists	1	Uprooted.txt	
star-kissed	1	The Perfect Pear.txt	
scout	1	The Gift of the Maud Pie.txt	
scour	1	The Gift of the Maud Pie.txt	
manefair	1	Rarity Takes Manehattan.txt	
shallot	1	The Saddle Row Review.txt	
advisement	1	Brotherhooves Social.txt	
magnus'	1	Campfire Tales.txt	
cure-all	1	Bloom & Gloom.txt	
jerk	1	The Lost Treasure of Griffonstone.txt	
moved	4	Amending Fences.txt	Rarity Takes Manehattan.txt	Princess Spike.txt	Castle Sweet Castle.txt	
dreamily	1	Simple Ways.txt	
red	3	Molt Down.txt	Uncommon Bond.txt	The Beginning of the End - Part 2.txt	
house-sitting	1	Party of One.txt	
scone	1	The Lost Treasure of Griffonstone.txt	
seventy-three	2	Secrets and Pies.txt	Spike at Your Service.txt	
duck	4	Pinkie Apple Pie.txt	Griffon the Brush Off.txt	Feeling Pinkie Keen.txt	Three's A Crowd.txt	
unappreciative	2	Forever Filly.txt	Castle Sweet Castle.txt	
finish	1	Apple Family Reunion.txt	
helped	2	A Friend in Deed.txt	My Little Pony Equestria Girls: Movie Magic.txt	
clipper	1	Newbie Dash.txt	
gifts	1	Secret of My Excess.txt	
dreaming	3	Do Princesses Dream of Magic Sheep?.txt	Uprooted.txt	A Dog and Pony Show.txt	
hayscartes'	1	Amending Fences.txt	
helpless	1	Three's A Crowd.txt	
pumpkinin'	1	The Hooffields and McColts.txt	
dress-up	1	Forever Filly.txt	
escaped	3	Do Princesses Dream of Magic Sheep?.txt	Molt Down.txt	The Cutie Re-Mark - Part 2.txt	
icicles	1	Winter Wrap Up.txt	
mutual	2	Friendship University.txt	Twilight's Kingdom - Part 1.txt	
peacefully	1	A Royal Problem.txt	
ruins	1	The One Where Pinkie Pie Knows.txt	
escapee	1	Twilight's Kingdom - Part 1.txt	
groans	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
smashing	3	The Hearth's Warming Club.txt	Spike at Your Service.txt	The Saddle Row Review.txt	
trust	1	Apple Family Reunion.txt	
stilettos	1	The End in Friend.txt	
puddle	1	Made in Manehattan.txt	
magically	4	The Break Up Break Down.txt	Hearth's Warming Eve.txt	The Cutie Map - Part 1.txt	To Where and Back Again - Part 1.txt	
scoop	1	The Saddle Row Review.txt	
scoot	1	The Washouts.txt	
eh-heh	1	My Little Pony Equestria Girls: Movie Magic.txt	
buildin'	3	The Cart Before the Ponies.txt	The Hooffields and McColts.txt	Made in Manehattan.txt	
prevent	3	It's About Time.txt	To Where and Back Again - Part 2.txt	Secret of My Excess.txt	
laser	2	Secrets and Pies.txt	Power Ponies.txt	
sorry	1	Apple Family Reunion.txt	
duel	1	MMMystery on the Friendship Express.txt	
spellcasting	1	Secret of My Excess.txt	
dreamin'	1	Bloom & Gloom.txt	
practicing	2	Twilight Time.txt	Secret of My Excess.txt	
ghastly	1	Gauntlet of Fire.txt	
'but	1	Dragonshy.txt	
fetlock	1	The Cutie Map - Part 1.txt	
message	5	It's About Time.txt	The Cutie Map - Part 1.txt	The Cutie Map - Part 2.txt	Princess Twilight Sparkle - Part 1.txt	The Beginning of the End - Part 1.txt	
pumpkining	1	The Hooffields and McColts.txt	
clipped	1	Newbie Dash.txt	
truth	8	The Hearth's Warming Club.txt	The Cutie Re-Mark - Part 2.txt	The Last Problem.txt	The Beginning of the End - Part 2.txt	Maud Pie.txt	Rarity Takes Manehattan.txt	Castle Sweet Castle.txt	The Saddle Row Review.txt	
moves	3	Griffon the Brush Off.txt	Growing Up is Hard to Do.txt	My Little Pony Equestria Girls: Movie Magic.txt	
maretania	1	Three's A Crowd.txt	
awoken	1	Winter Wrap Up.txt	
hayseed	3	Sweet and Elite.txt	Growing Up is Hard to Do.txt	Boast Busters.txt	
dude	1	Filli Vanilli.txt	
crab	1	Princess Twilight Sparkle - Part 2.txt	
albeit	1	Friendship University.txt	
overlapped	1	Every Little Thing She Does.txt	
ouch	2	Feeling Pinkie Keen.txt	Molt Down.txt	
medallion	1	Twilight's Kingdom - Part 2.txt	
untouched	2	A Rockhoof and a Hard Place.txt	The Perfect Pear.txt	
dirtiest	1	Hearth's Warming Eve.txt	
movie	1	My Little Pony Equestria Girls: Movie Magic.txt	
popcorn	4	Princess Twilight Sparkle - Part 2.txt	Forever Filly.txt	Made in Manehattan.txt	The Washouts.txt	
tendency	1	Uncommon Bond.txt	
rumors	2	Friendship University.txt	A Royal Problem.txt	
rid	5	A Royal Problem.txt	To Where and Back Again - Part 1.txt	Princess Spike.txt	Castle Sweet Castle.txt	Apple Family Reunion.txt	
'no's	1	Twilight's Kingdom - Part 1.txt	
eavesdropping	1	The Washouts.txt	
disappointment	1	Every Little Thing She Does.txt	
tacky	1	The Cutie Map - Part 2.txt	
rip	1	The Washouts.txt	
decline	1	Party of One.txt	
hugging	1	The Lost Treasure of Griffonstone.txt	
sylvestris	1	Student Counsel.txt	
practicin'	1	Brotherhooves Social.txt	
swiss	1	Three's A Crowd.txt	
hairy	2	Dragonshy.txt	A Friend in Deed.txt	
exit	4	It Ain't Easy Being Breezies.txt	Twilight's Kingdom - Part 1.txt	A Dog and Pony Show.txt	The Perfect Pear.txt	
system	4	MMMystery on the Friendship Express.txt	Secrets and Pies.txt	The One Where Pinkie Pie Knows.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	
mailbox	1	Three's A Crowd.txt	
"after-birthday"	1	Party of One.txt	
whoopsie-daisy	1	Pinkie Pride.txt	
sophistication	1	The Gift of the Maud Pie.txt	
uncle	2	Pinkie Apple Pie.txt	My Little Pony Equestria Girls: Movie Magic.txt	
ohhhh-ho-ho-ho-ho-ho	1	A Rockhoof and a Hard Place.txt	
snowpony	1	Hearth's Warming Eve.txt	
crew	3	A Rockhoof and a Hard Place.txt	Marks for Effort.txt	My Little Pony Equestria Girls: Movie Magic.txt	
vacation	1	Once Upon a Zeppelin.txt	
firstly	1	Simple Ways.txt	
terrace	1	Surf and or Turf.txt	
y-you're	1	Stranger Than Fan Fiction.txt	
up-and-coming	1	A Dog and Pony Show.txt	
